Sample,Cluster
60,1
60,1
60,1
60,2
60,0
60,2
60,2
60,2
60,2
60,1
60,2
60,0
60,2
60,2
60,0
60,0
60,1
60,1
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,2
60,2
60,2
60,0
60,0
60,0
60,2
60,0
60,0
60,1
60,1
60,1
60,1
60,1
60,1
60,1
60,1
60,1
60,1
60,2
60,1
60,1
60,1
